#,id,quantity,name,item_type,price,vat_rate,product_category,organization_name,organization_country,organization_municipality,organization_street,organization_category,unit_municipality,unit_name,unit_street,issue_date,created_date,last_modified_date,tax_base_basic,tax_base_reduced,vat_rate_basic,vat_rate_reduced,fs_receipt_category,user,transaction
1,181,1,Donut čokoládový,K,0.33,20,pastry/sweet,"Lidl Slovenská republika, v.o.s.",Slovensko,Bratislava - mestská časť Ružinov,Ružinovská,Stravovanie/Potraviny,Bratislava,,Galvániho II.,30.01.2021 19:09:01,2021-04-21 19:44:26,2021-04-21 19:44:26,12.68,2.09,20,10,Stravovanie/Potraviny,1,1
2,182,1,Nátierka Natur,K,0.79,20,basic/spread,"Lidl Slovenská republika, v.o.s.",Slovensko,Bratislava - mestská časť Ružinov,Ružinovská,Stravovanie/Potraviny,Bratislava,,Galvániho II.,30.01.2021 19:09:01,2021-04-21 19:44:26,2021-04-21 19:44:26,12.68,2.09,20,10,Stravovanie/Potraviny,1,1
3,183,1,Koktejl. paradajky,K,2.09,10,fruits-veg/vegetable,"Lidl Slovenská republika, v.o.s.",Slovensko,Bratislava - mestská časť Ružinov,Ružinovská,Stravovanie/Potraviny,Bratislava,,Galvániho II.,30.01.2021 19:09:01,2021-04-21 19:44:26,2021-04-21 19:44:26,12.68,2.09,20,10,Stravovanie/Potraviny,1,1
4,184,1,Trubičky-vanilk.,K,0.89,20,snacks/sweet,"Lidl Slovenská republika, v.o.s.",Slovensko,Bratislava - mestská časť Ružinov,Ružinovská,Stravovanie/Potraviny,Bratislava,,Galvániho II.,30.01.2021 19:09:01,2021-04-21 19:44:26,2021-04-21 19:44:27,12.68,2.09,20,10,Stravovanie/Potraviny,1,1
5,185,3,"Rožok bez ""E"" - DA  ",K,0.07,10,pastry/basic,"Lidl Slovenská republika, v.o.s.",Slovensko,Bratislava - mestská časť Ružinov,Ružinovská,Stravovanie/Potraviny,Bratislava,,Galvániho II.,30.01.2021 19:09:01,2021-04-21 19:44:26,2021-04-21 19:44:27,12.68,2.09,20,10,Stravovanie/Potraviny,1,1
6,186,1,Gouda Old Holland,K,2.99,20,dairy/cheese,"Lidl Slovenská republika, v.o.s.",Slovensko,Bratislava - mestská časť Ružinov,Ružinovská,Stravovanie/Potraviny,Bratislava,,Galvániho II.,30.01.2021 19:09:01,2021-04-21 19:44:26,2021-04-21 19:45:08,12.68,2.09,20,10,Stravovanie/Potraviny,1,1
7,187,0.111,Red Wine Cheese,K,14.86486486,20,dairy/cheese,"Lidl Slovenská republika, v.o.s.",Slovensko,Bratislava - mestská časť Ružinov,Ružinovská,Stravovanie/Potraviny,Bratislava,,Galvániho II.,30.01.2021 19:09:01,2021-04-21 19:44:26,2021-04-21 19:45:39,12.68,2.09,20,10,Stravovanie/Potraviny,1,1
8,188,0.13,Red Wine Cheese,K,14.92307692,20,dairy/cheese,"Lidl Slovenská republika, v.o.s.",Slovensko,Bratislava - mestská časť Ružinov,Ružinovská,Stravovanie/Potraviny,Bratislava,,Galvániho II.,30.01.2021 19:09:01,2021-04-21 19:44:26,2021-04-21 19:46:05,12.68,2.09,20,10,Stravovanie/Potraviny,1,1
9,189,2,"Bravč.párky,200g    ",K,0.99,20,meat/meat-products,"Lidl Slovenská republika, v.o.s.",Slovensko,Bratislava - mestská časť Ružinov,Ružinovská,Stravovanie/Potraviny,Bratislava,,Galvániho II.,30.01.2021 19:09:01,2021-04-21 19:44:26,2021-04-21 19:46:17,12.68,2.09,20,10,Stravovanie/Potraviny,1,1
10,190,3,Taštička pizzová,K,0.39,20,pastry/salty,"Lidl Slovenská republika, v.o.s.",Slovensko,Bratislava - mestská časť Ružinov,Ružinovská,Stravovanie/Potraviny,Bratislava,,Galvániho II.,30.01.2021 19:09:01,2021-04-21 19:44:26,2021-04-21 19:45:57,12.68,2.09,20,10,Stravovanie/Potraviny,1,1
11,191,1,Nesc. 3v1Br. Sugar,K,1.99,20,basic/tea-coffee-soups,"Lidl Slovenská republika, v.o.s.",Slovensko,Bratislava - mestská časť Ružinov,Ružinovská,Stravovanie/Potraviny,Bratislava,,Galvániho II.,30.01.2021 19:09:01,2021-04-21 19:44:26,2021-04-21 19:45:45,12.68,2.09,20,10,Stravovanie/Potraviny,1,1
12,192,1,Hellmann's kečup,K,1.49,20,basic/sauces,"Lidl Slovenská republika, v.o.s.",Slovensko,Bratislava - mestská časť Ružinov,Ružinovská,Stravovanie/Potraviny,Bratislava,,Galvániho II.,30.01.2021 19:09:01,2021-04-21 19:44:26,2021-04-21 19:44:27,12.68,2.09,20,10,Stravovanie/Potraviny,1,1
13,193,1,Alwa slip EP Lo 52ks,K,2.59,20,health/lady,Kaufland Slovenská republika v.o.s.,Slovensko,Bratislava - mestská časť Nové Mesto,Trnavská cesta,Stravovanie/Potraviny,Senec,,Trnavská ulica,25.02.2021 16:33:36,2021-04-21 19:47:26,2021-04-22 8:34:33,83.77,21.34,20,10,Stravovanie/Potraviny,1,2
14,194,1,Domes WCgel LF 700ml,K,1.59,20,home/cleaning,Kaufland Slovenská republika v.o.s.,Slovensko,Bratislava - mestská časť Nové Mesto,Trnavská cesta,Stravovanie/Potraviny,Senec,,Trnavská ulica,25.02.2021 16:33:36,2021-04-21 19:47:26,2021-04-22 8:39:04,83.77,21.34,20,10,Stravovanie/Potraviny,1,2
15,195,1,Silan avi CF 1450 ml,K,3.29,20,home/laundry,Kaufland Slovenská republika v.o.s.,Slovensko,Bratislava - mestská časť Nové Mesto,Trnavská cesta,Stravovanie/Potraviny,Senec,,Trnavská ulica,25.02.2021 16:33:36,2021-04-21 19:47:26,2021-04-22 8:39:08,83.77,21.34,20,10,Stravovanie/Potraviny,1,2
16,196,1,Always Night 28ks,K,5.99,20,health/lady,Kaufland Slovenská republika v.o.s.,Slovensko,Bratislava - mestská časť Nové Mesto,Trnavská cesta,Stravovanie/Potraviny,Senec,,Trnavská ulica,25.02.2021 16:33:36,2021-04-21 19:47:26,2021-04-21 19:47:28,83.77,21.34,20,10,Stravovanie/Potraviny,1,2
17,197,1,K. vrecká mraz50ks,K,1.29,20,home/accessories,Kaufland Slovenská republika v.o.s.,Slovensko,Bratislava - mestská časť Nové Mesto,Trnavská cesta,Stravovanie/Potraviny,Senec,,Trnavská ulica,25.02.2021 16:33:36,2021-04-21 19:47:26,2021-04-22 8:39:46,83.77,21.34,20,10,Stravovanie/Potraviny,1,2
18,198,1,K. vrecká mraz30ks,K,1.39,20,home/accessories,Kaufland Slovenská republika v.o.s.,Slovensko,Bratislava - mestská časť Nové Mesto,Trnavská cesta,Stravovanie/Potraviny,Senec,,Trnavská ulica,25.02.2021 16:33:36,2021-04-21 19:47:26,2021-04-22 8:38:06,83.77,21.34,20,10,Stravovanie/Potraviny,1,2
19,199,1,Vitar sóda 150tbl,K,1.79,20,home/maintenence,Kaufland Slovenská republika v.o.s.,Slovensko,Bratislava - mestská časť Nové Mesto,Trnavská cesta,Stravovanie/Potraviny,Senec,,Trnavská ulica,25.02.2021 16:33:36,2021-04-21 19:47:26,2021-04-21 19:47:28,83.77,21.34,20,10,Stravovanie/Potraviny,1,2
20,200,1,GK balzam 200ml,K,3.99,20,drugstore/beauty,Kaufland Slovenská republika v.o.s.,Slovensko,Bratislava - mestská časť Nové Mesto,Trnavská cesta,Stravovanie/Potraviny,Senec,,Trnavská ulica,25.02.2021 16:33:36,2021-04-21 19:47:26,2021-04-22 8:36:46,83.77,21.34,20,10,Stravovanie/Potraviny,1,2
21,201,3,Bev.Kozm.vreck.150ks,K,0.66,20,drugstore/beauty,Kaufland Slovenská republika v.o.s.,Slovensko,Bratislava - mestská časť Nové Mesto,Trnavská cesta,Stravovanie/Potraviny,Senec,,Trnavská ulica,25.02.2021 16:33:36,2021-04-21 19:47:26,2021-04-21 19:47:28,83.77,21.34,20,10,Stravovanie/Potraviny,1,2
22,202,1,Odol ZP 125ml,K,1.69,20,drugstore/dental,Kaufland Slovenská republika v.o.s.,Slovensko,Bratislava - mestská časť Nové Mesto,Trnavská cesta,Stravovanie/Potraviny,Senec,,Trnavská ulica,25.02.2021 16:33:36,2021-04-21 19:47:26,2021-04-21 19:47:28,83.77,21.34,20,10,Stravovanie/Potraviny,1,2
23,203,1,Ovčia bryndza 125g,K,1.39,10,dairy/cheese,Kaufland Slovenská republika v.o.s.,Slovensko,Bratislava - mestská časť Nové Mesto,Trnavská cesta,Stravovanie/Potraviny,Senec,,Trnavská ulica,25.02.2021 16:33:36,2021-04-21 19:47:26,2021-04-22 8:37:35,83.77,21.34,20,10,Stravovanie/Potraviny,1,2
24,204,1,Fantasia kar.122g,K,0.62,10,dairy/joghurts,Kaufland Slovenská republika v.o.s.,Slovensko,Bratislava - mestská časť Nové Mesto,Trnavská cesta,Stravovanie/Potraviny,Senec,,Trnavská ulica,25.02.2021 16:33:36,2021-04-21 19:47:26,2021-04-22 8:39:00,83.77,21.34,20,10,Stravovanie/Potraviny,1,2
